
line,tech_id,com_id,stop_code,stop_name,stop_delay,timestamp
R13,30528,15052,78400,Lleida-Pirineus,0,22-07-2022 18:14:04
R14,15045,15045,79400,Barcelona-Estació de França,0,22-07-2022 18:14:04
R14,15045,15045,79400,Barcelona-Estació de França,0,22-07-2022 18:14:03
R14,30525,15045,71502,Altafulla-Tamarit,7,22-07-2022 18:14:03
R8,88624,88624,72209,Martorell,0,22-07-2022 18:13:55
R8,78656,78656,79100,Granollers Centre,0,22-07-2022 18:13:55
R16,30840,18058,65400,Tortosa,0,22-07-2022 18:13:53
R14,30525,15045,71502,Altafulla-Tamarit,7,22-07-2022 18:13:51
R17,33514,15234,65411,Salou - Port Aventura,2,22-07-2022 18:13:51
R15,15033,15033,71600,Sant Vicenç de Calders,11,22-07-2022 18:13:51
R15,15036,15036,71210,Flix,0,22-07-2022 18:13:51
MD,15016,15016,04040,NA,0,22-07-2022 18:13:49
MD,15015,15015,71303,Marçà-Falset,10,22-07-2022 18:13:49
R16,30836,18056,71503,Torredembarra,3,22-07-2022 18:13:45
R2,25550,25550,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:45
R15,15033,15033,71600,Sant Vicenç de Calders,11,22-07-2022 18:13:45
R14,30524,15042,71500,Tarragona,51,22-07-2022 18:13:45
R17,33514,15234,65411,Salou - Port Aventura,2,22-07-2022 18:13:45
R16,30837,18091,71600,Sant Vicenç de Calders,7,22-07-2022 18:13:45
R2,25552,25552,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:45
RT2,33859,30559,72202,L'Arboç,0,22-07-2022 18:13:45
R4,77456,77456,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:45
R13,30528,15052,78400,Lleida-Pirineus,0,22-07-2022 18:13:45
R14,15045,15045,79400,Barcelona-Estació de França,0,22-07-2022 18:13:43
R14,30525,15045,71502,Altafulla-Tamarit,7,22-07-2022 18:13:43
R15,15036,15036,71210,Flix,0,22-07-2022 18:13:43
R15,15033,15033,71600,Sant Vicenç de Calders,11,22-07-2022 18:13:43
R4,77452,77452,71600,Sant Vicenç de Calders,3,22-07-2022 18:13:41
R4,77546,77546,72205,La Granada,31,22-07-2022 18:13:41
RT2,33859,30559,72202,L'Arboç,0,22-07-2022 18:13:41
R4,77456,77456,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:41
R4,87650,87650,72209,Martorell,0,22-07-2022 18:13:39
R4,77550,77550,72305,L'Hospitalet de Llobregat,14,22-07-2022 18:13:39
R4,77750,77750,71801,Barcelona-Sants,3,22-07-2022 18:13:39
R4,77450,77450,72206,Lavern-Subirats,6,22-07-2022 18:13:39
R4,77552,77552,78804,Barcelona-Arc de Triomf,1,22-07-2022 18:13:39
R4,87652,87652,72209,Martorell,0,22-07-2022 18:13:39
R4,77752,77752,78707,Montcada i Reixac-Santa Maria,4,22-07-2022 18:13:39
R4,77452,77452,71600,Sant Vicenç de Calders,3,22-07-2022 18:13:39
R4,77554,77554,78703,Sabadell Sud,0,22-07-2022 18:13:39
R7,77890,77890,72303,Cornellà,2,22-07-2022 18:13:37
R4,77448,77448,72210,Castellbisbal,9,22-07-2022 18:13:37
R4,77550,77550,72305,L'Hospitalet de Llobregat,14,22-07-2022 18:13:37
R4,77750,77750,71801,Barcelona-Sants,3,22-07-2022 18:13:37
R4,87650,87650,72209,Martorell,0,22-07-2022 18:13:37
R4,77552,77552,78804,Barcelona-Arc de Triomf,1,22-07-2022 18:13:37
R7,77892,77892,78802,Barcelona-Sant Andreu Arenal,2,22-07-2022 18:13:37
R4,77450,77450,72206,Lavern-Subirats,6,22-07-2022 18:13:37
R4,77752,77752,78707,Montcada i Reixac-Santa Maria,4,22-07-2022 18:13:37
R4,87652,87652,72209,Martorell,0,22-07-2022 18:13:37
R4,77554,77554,78703,Sabadell Sud,0,22-07-2022 18:13:37
R4,77554,77554,78703,Sabadell Sud,0,22-07-2022 18:13:34
R4,77444,77444,78802,Barcelona-Sant Andreu Arenal,28,22-07-2022 18:13:34
R7,77894,77894,72503,Cerdanyola-Universitat,0,22-07-2022 18:13:34
R4,87646,87646,78806,Barcelona-La Sagrera-Meridiana,18,22-07-2022 18:13:34
R4,77446,77446,78804,Barcelona-Arc de Triomf,7,22-07-2022 18:13:34
R7,77853,77853,78802,Barcelona-Sant Andreu Arenal,0,22-07-2022 18:13:34
R4,77754,77754,78700,Terrassa,0,22-07-2022 18:13:34
R4,77985,77985,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:34
R4,77556,77556,78700,Terrassa,1,22-07-2022 18:13:34
R4,87648,87648,72301,Sant Feliu de Llobregat,16,22-07-2022 18:13:34
R7,77896,77896,72503,Cerdanyola-Universitat,0,22-07-2022 18:13:34
R7,77855,77855,78802,Barcelona-Sant Andreu Arenal,0,22-07-2022 18:13:34
R4,77448,77448,72210,Castellbisbal,9,22-07-2022 18:13:34
R12,34627,15627,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:34
R4,77756,77756,78700,Terrassa,0,22-07-2022 18:13:34
R4,87650,87650,72209,Martorell,0,22-07-2022 18:13:34
R4,77754,77754,78700,Terrassa,0,22-07-2022 18:13:32
R4,77556,77556,78700,Terrassa,1,22-07-2022 18:13:32
R4,77444,77444,78802,Barcelona-Sant Andreu Arenal,28,22-07-2022 18:13:32
R4,87646,87646,78806,Barcelona-La Sagrera-Meridiana,18,22-07-2022 18:13:32
R4,77446,77446,78804,Barcelona-Arc de Triomf,7,22-07-2022 18:13:32
R4,77756,77756,78700,Terrassa,0,22-07-2022 18:13:32
R4,77558,77558,78600,Manresa,0,22-07-2022 18:13:32
R4,77985,77985,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:32
R4,77558,77558,78600,Manresa,0,22-07-2022 18:13:30
R4,77560,77560,78600,Manresa,0,22-07-2022 18:13:30
R4,77444,77444,78802,Barcelona-Sant Andreu Arenal,28,22-07-2022 18:13:30
R4,77444,77444,78802,Barcelona-Sant Andreu Arenal,28,22-07-2022 18:13:27
R4,77752,77752,78707,Montcada i Reixac-Santa Maria,4,22-07-2022 18:13:27
R4,87646,87646,78806,Barcelona-La Sagrera-Meridiana,18,22-07-2022 18:13:27
R4,77446,77446,78804,Barcelona-Arc de Triomf,7,22-07-2022 18:13:27
R7,77853,77853,78802,Barcelona-Sant Andreu Arenal,0,22-07-2022 18:13:27
R3,78375,78375,78804,Barcelona-Arc de Triomf,5,22-07-2022 18:13:27
R4,77554,77554,78703,Sabadell Sud,0,22-07-2022 18:13:27
R3,78372,78372,77006,Granollers-Canovelles,12,22-07-2022 18:13:27
R4,77985,77985,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:27
R7,77894,77894,72503,Cerdanyola-Universitat,0,22-07-2022 18:13:27
R4,77754,77754,78700,Terrassa,0,22-07-2022 18:13:27
R4,87648,87648,72301,Sant Feliu de Llobregat,16,22-07-2022 18:13:27
R3,78331,78331,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:27
R7,77855,77855,78802,Barcelona-Sant Andreu Arenal,0,22-07-2022 18:13:27
R4,77448,77448,72210,Castellbisbal,9,22-07-2022 18:13:27
R12,34627,15627,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:27
R3,78332,78332,77105,Centelles,6,22-07-2022 18:13:27
R4,77556,77556,78700,Terrassa,1,22-07-2022 18:13:27
R4,87650,87650,72209,Martorell,0,22-07-2022 18:13:27
R4,77987,77987,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:27
R7,77896,77896,72503,Cerdanyola-Universitat,0,22-07-2022 18:13:27
R3,78373,78373,77004,Mollet-Santa Rosa,7,22-07-2022 18:13:25
R3,78372,78372,77006,Granollers-Canovelles,12,22-07-2022 18:13:25
R3,78332,78332,77105,Centelles,6,22-07-2022 18:13:25
R3,78375,78375,78804,Barcelona-Arc de Triomf,5,22-07-2022 18:13:25
R3,78331,78331,72305,L'Hospitalet de Llobregat,0,22-07-2022 18:13:25
R3,78374,78374,77200,Ripoll,7,22-07-2022 18:13:25
R3,78329,78329,77104,Sant Martí de Centelles,11,22-07-2022 18:13:23
R3,78374,78374,77200,Ripoll,7,22-07-2022 18:13:23
R3,78373,78373,77004,Mollet-Santa Rosa,7,22-07-2022 18:13:23
R3,78334,78334,77109,Vic,0,22-07-2022 18:13:23
R3,78375,78375,78804,Barcelona-Arc de Triomf,5,22-07-2022 18:13:23
R3,78371,78371,77111,Torelló,5,22-07-2022 18:13:21
R3,78378,78378,77310,La Tor de Querol-Enveig,0,22-07-2022 18:13:17
R2,25550,25550,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:15
R2,25547,25547,71701,Sitges,10,22-07-2022 18:13:15
R2,25549,25549,71706,Gavà,-1,22-07-2022 18:13:15
R2,25552,25552,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:15
R2,28376,28376,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:13
R2,25547,25547,71701,Sitges,10,22-07-2022 18:13:13
R2,25548,25548,71604,Cubelles,-2,22-07-2022 18:13:13
R2,28373,28373,71705,Castelldefels,5,22-07-2022 18:13:13
R2,25549,25549,71706,Gavà,-1,22-07-2022 18:13:13
R2,28378,28378,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:13
R2,28375,28375,71801,Barcelona-Sants,0,22-07-2022 18:13:13
R2,25550,25550,71600,Sant Vicenç de Calders,0,22-07-2022 18:13:13
R2,25551,25551,79400,Barcelona-Estació de França,0,22-07-2022 18:13:13
R2,28380,28380,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:13
R2,28586,28586,71709,Viladecans,6,22-07-2022 18:13:11
R2,28374,28374,71705,Castelldefels,11,22-07-2022 18:13:11
R2,25546,25546,71705,Castelldefels,6,22-07-2022 18:13:11
R2,25549,25549,71706,Gavà,-1,22-07-2022 18:13:11
R2,28540,28540,71705,Castelldefels,0,22-07-2022 18:13:11
R2,28375,28375,71801,Barcelona-Sants,0,22-07-2022 18:13:11
R2,28376,28376,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:11
R2,28588,28588,79009,Barcelona-El Clot-Aragó,2,22-07-2022 18:13:11
R2,25548,25548,71604,Cubelles,-2,22-07-2022 18:13:11
R2,25551,25551,79400,Barcelona-Estació de França,0,22-07-2022 18:13:11
R2,28542,28542,71705,Castelldefels,0,22-07-2022 18:13:11
R2,28377,28377,79400,Barcelona-Estació de França,0,22-07-2022 18:13:11
R2,28378,28378,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:11
R2,28590,28590,79100,Granollers Centre,0,22-07-2022 18:13:11
R2,25450,25450,72400,Aeroport,3,22-07-2022 18:13:09
R2,28374,28374,71705,Castelldefels,11,22-07-2022 18:13:09
R2,28375,28375,71801,Barcelona-Sants,0,22-07-2022 18:13:09
R2,28450,28450,79009,Barcelona-El Clot-Aragó,11,22-07-2022 18:13:09
R2,28588,28588,79009,Barcelona-El Clot-Aragó,2,22-07-2022 18:13:09
R2,28540,28540,71705,Castelldefels,0,22-07-2022 18:13:09
R2,28376,28376,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:09
R2,25452,25452,72400,Aeroport,0,22-07-2022 18:13:09
R2,28452,28452,79011,La Llagosta,1,22-07-2022 18:13:09
R2,28377,28377,79400,Barcelona-Estació de França,0,22-07-2022 18:13:09
R2,28590,28590,79100,Granollers Centre,0,22-07-2022 18:13:09
R2,28542,28542,71705,Castelldefels,0,22-07-2022 18:13:09
R2,28378,28378,71700,Vilanova i la Geltrú,0,22-07-2022 18:13:09
R1,78164,78164,79403,Sant Adrià de Besòs,5,22-07-2022 18:13:07
R1,78171,78171,78805,Barcelona-Plaça de Catalunya,6,22-07-2022 18:13:07
R11,15082,15083,71801,Barcelona-Sants,0,22-07-2022 18:13:07
R2,28452,28452,79011,La Llagosta,1,22-07-2022 18:13:07
R1,78166,78166,79404,Badalona,0,22-07-2022 18:13:07
R2,28538,28538,71706,Gavà,0,22-07-2022 18:13:07
