
line,tech_id,stop_name,stop_delay,schedule_stop_departure_time,timestamp
MD,15015,Marçà-Falset,10,22-07-2022 18:11:00,22-07-2022 18:13:49
MD,15015,Pradell,10,22-07-2022 18:04:00,22-07-2022 18:08:06
MD,15016,NA,0,NA,22-07-2022 18:13:49
R11,15018,Maçanet-Massanes,1,22-07-2022 18:11:00,22-07-2022 18:13:07
NA,15018,Figueres,0,NA,22-07-2022 18:07:18
R15,15033,Sant Vicenç de Calders,11,22-07-2022 18:27:00,22-07-2022 18:13:51
NA,15036,Flix,0,NA,22-07-2022 18:13:51
NA,15045,Barcelona-Estació de França,0,NA,22-07-2022 18:14:04
R11,15074,Figueres,0,22-07-2022 18:46:00,22-07-2022 18:12:39
NA,15080,Barcelona-El Clot-Aragó,3,NA,22-07-2022 17:59:10
R11,15080,Sant Celoni,3,22-07-2022 18:37:00,22-07-2022 18:12:43
R11,15082,Barcelona-Sants,0,22-07-2022 18:16:00,22-07-2022 18:13:07
R11,15092,Girona,0,22-07-2022 18:19:00,22-07-2022 18:12:43
R11,15098,Sant Celoni,65,22-07-2022 18:06:00,22-07-2022 18:06:53
R11,15098,Maçanet-Massanes,67,22-07-2022 18:17:00,22-07-2022 18:12:43
R11,15814,Barcelona-Sant Andreu Comtal,0,22-07-2022 18:25:00,22-07-2022 18:13:07
R11,15814,Granollers Centre,0,22-07-2022 18:08:00,22-07-2022 18:07:18
NA,15818,Portbou,0,NA,22-07-2022 18:12:43
R11,15820,Portbou,0,22-07-2022 19:05:00,22-07-2022 18:12:35
NA,15836,Sant Miquel de Fluvià,28,NA,22-07-2022 18:06:45
R11,15838,Granollers Centre,18,22-07-2022 18:04:00,22-07-2022 17:59:10
R11,15838,Sant Celoni,19,22-07-2022 18:20:00,22-07-2022 18:12:43
NA,25446,Montcada i Reixac,9,NA,22-07-2022 17:59:32
R2,25446,Mollet-Sant Fost,9,22-07-2022 18:08:00,22-07-2022 18:07:15
R2,25446,Granollers Centre,9,22-07-2022 18:17:00,22-07-2022 18:13:03
NA,25448,Barcelona-Sants,2,NA,22-07-2022 18:07:18
R2,25448,Barcelona-El Clot-Aragó,2,22-07-2022 18:10:00,22-07-2022 18:13:05
R2,25450,Aeroport,3,22-07-2022 18:08:00,22-07-2022 18:13:09
R2,25452,Aeroport,0,22-07-2022 18:38:00,22-07-2022 18:13:09
R2,25544,Barcelona-Sants,-2,22-07-2022 18:06:00,22-07-2022 17:59:27
NA,25545,Cunit,5,NA,22-07-2022 17:59:43
NA,25546,Vilanova i la Geltrú,8,NA,22-07-2022 17:59:41
R2,25546,Sitges,8,22-07-2022 18:03:00,22-07-2022 18:07:23
R2,25546,Castelldefels,6,22-07-2022 18:19:00,22-07-2022 18:13:11
R2,25547,Sitges,10,22-07-2022 18:14:00,22-07-2022 18:13:15
R2,25547,Castelldefels,7,22-07-2022 18:02:00,22-07-2022 17:59:43
NA,25548,Sant Vicenç de Calders,0,NA,22-07-2022 17:59:43
R2,25548,Segur de Calafell,-1,22-07-2022 18:08:00,22-07-2022 18:07:25
R2,25548,Cubelles,-2,22-07-2022 18:15:00,22-07-2022 18:13:13
R2,25549,Gavà,-1,22-07-2022 18:23:00,22-07-2022 18:13:15
R2,25549,Barcelona-Sants,2,22-07-2022 18:05:00,22-07-2022 18:07:27
NA,25549,Barcelona-Passeig de Gràcia,-2,NA,22-07-2022 17:59:43
R2,25550,Sant Vicenç de Calders,0,22-07-2022 18:30:00,22-07-2022 18:13:45
R2,25551,Barcelona-Estació de França,0,22-07-2022 18:21:00,22-07-2022 18:13:13
R2,25552,Sant Vicenç de Calders,0,22-07-2022 19:00:00,22-07-2022 18:13:45
R2,28371,Sitges,17,22-07-2022 18:08:00,22-07-2022 18:07:25
NA,28371,Platja de Castelldefels,18,NA,22-07-2022 17:59:41
R2,28373,Castelldefels,5,22-07-2022 18:11:00,22-07-2022 18:13:13
R2,28373,Gavà,3,22-07-2022 18:07:00,22-07-2022 18:07:25
NA,28373,El Prat de Llobregat,3,NA,22-07-2022 17:59:41
NA,28374,Sitges,13,NA,22-07-2022 17:59:39
R2,28374,Platja de Castelldefels,10,22-07-2022 18:08:00,22-07-2022 18:07:23
R2,28374,Castelldefels,11,22-07-2022 18:12:00,22-07-2022 18:13:11
R2,28375,Barcelona-Sants,0,22-07-2022 18:15:00,22-07-2022 18:13:13
R2,28375,Barcelona-Passeig de Gràcia,-3,22-07-2022 18:09:00,22-07-2022 18:07:25
NA,28375,Barcelona-Estació de França,1,NA,22-07-2022 17:59:41
R2,28376,Vilanova i la Geltrú,0,22-07-2022 18:08:00,22-07-2022 18:13:13
R2,28377,Barcelona-Estació de França,0,22-07-2022 18:28:00,22-07-2022 18:13:11
R2,28378,Vilanova i la Geltrú,0,22-07-2022 18:38:00,22-07-2022 18:13:13
R2,28379,Barcelona-Estació de França,0,22-07-2022 18:58:00,22-07-2022 18:13:00
R2,28380,Vilanova i la Geltrú,0,22-07-2022 19:08:00,22-07-2022 18:13:13
NA,28450,Barcelona-Sant Andreu Comtal,10,NA,22-07-2022 17:59:37
R2,28450,Barcelona-El Clot-Aragó,11,22-07-2022 18:06:00,22-07-2022 18:13:09
R2,28452,Mollet-Sant Fost,0,22-07-2022 18:08:00,22-07-2022 18:07:21
R2,28452,La Llagosta,1,22-07-2022 18:11:00,22-07-2022 18:13:09
NA,28452,Granollers Centre,0,NA,22-07-2022 17:59:37
R2,28454,Sant Celoni,0,22-07-2022 18:07:00,22-07-2022 18:13:07
R2,28456,Sant Celoni,0,22-07-2022 18:37:00,22-07-2022 18:13:05
R2,28458,Sant Celoni,0,22-07-2022 19:07:00,22-07-2022 18:13:03
NA,28536,Barcelona-Sants,2,NA,22-07-2022 17:59:32
R2,28536,Barcelona-Sant Andreu Comtal,6,22-07-2022 18:05:00,22-07-2022 18:13:05
NA,28538,Gavà,0,NA,22-07-2022 18:13:07
R2,28540,Castelldefels,0,22-07-2022 18:24:00,22-07-2022 18:13:11
R2,28542,Castelldefels,0,22-07-2022 18:54:00,22-07-2022 18:13:11
NA,28584,Bellvitge,29,NA,22-07-2022 17:59:39
R2,28584,Viladecans,32,22-07-2022 18:06:00,22-07-2022 18:07:23
R2,28586,El Prat de Llobregat,5,22-07-2022 18:05:00,22-07-2022 18:07:23
R2,28586,Viladecans,6,22-07-2022 18:09:00,22-07-2022 18:13:11
NA,28586,Barcelona-Sants,5,NA,22-07-2022 17:59:39
R2,28588,Barcelona-Sant Andreu Comtal,2,22-07-2022 18:07:00,22-07-2022 18:07:23
R2,28588,Barcelona-El Clot-Aragó,2,22-07-2022 18:12:00,22-07-2022 18:13:11
NA,28588,La Llagosta,1,NA,22-07-2022 17:59:39
R2,28590,Granollers Centre,0,22-07-2022 18:15:00,22-07-2022 18:13:11
R15,30511,Barcelona-Estació de França,0,22-07-2022 18:13:00,22-07-2022 18:13:00
R15,30513,Barcelona-Estació de França,0,22-07-2022 18:47:00,22-07-2022 18:13:00
NA,30524,Tarragona,51,NA,22-07-2022 18:13:45
NA,30524,Lleida-Pirineus,0,NA,22-07-2022 18:07:10
R14,30525,Altafulla-Tamarit,7,22-07-2022 18:12:00,22-07-2022 18:14:03
R14,30525,Torredembarra,6,22-07-2022 18:08:00,22-07-2022 18:08:21
NA,30525,Sant Vicenç de Calders,6,NA,22-07-2022 18:00:33
NA,30528,Lleida-Pirineus,0,NA,22-07-2022 18:14:04
R13,30529,Barcelona-Estació de França,0,22-07-2022 18:43:00,22-07-2022 18:13:00
R16,30833,L'Aldea-Amposta,5,22-07-2022 18:02:00,22-07-2022 18:00:24
R16,30834,Barcelona-Sants,-2,22-07-2022 18:10:00,22-07-2022 18:07:10
NA,30836,Tarragona,1,NA,22-07-2022 18:00:16
R16,30836,Torredembarra,3,22-07-2022 18:07:00,22-07-2022 18:13:45
R16,30837,Sant Vicenç de Calders,7,22-07-2022 18:56:00,22-07-2022 18:13:45
R16,30837,Barcelona-Sants,8,22-07-2022 18:04:00,22-07-2022 18:07:58
NA,30837,Barcelona-Passeig de Gràcia,7,NA,22-07-2022 18:00:16
R16,30840,Tortosa,0,22-07-2022 18:35:00,22-07-2022 18:13:53
